batch_id,inspection_date,line_id,product_code,units_inspected,units_passed,defect_count,defect_type,inspector_id,qc_result
BATCH-79906,2022-07-25,LINE-C,PROD-0025,382,382,0,None,INS-016,PASS
BATCH-87540,2024-06-29,LINE-C,PROD-0060,142,140,2,,INS-021,PASS
BATCH-57962,2023-09-01,LINE-D,PROD-0132,491,491,0,None,INS-003,PASS
BATCH-61801,2022-06-21,LINE-A,PROD-0177,411,409,2,None,INS-016,PASS
BATCH-51664,2024-11-13,LINE-B,PROD-0057,68,68,0,None,INS-026,PASS
BATCH-54518,2024-06-24,LINE-C,PROD-0023,361,360,1,,INS-012,PASS
BATCH-13549,2022-04-09,LINE-A,PROD-0102,419,417,2,None,INS-010,PASS
BATCH-94319,2024-03-28,LINE-C,PROD-0196,54,54,0,None,INS-011,PASS
BATCH-48545,2023-02-21,LINE-C,PROD-0104,102,101,1,Contamination,INS-002,FAIL
BATCH-24189,2023-12-21,LINE-E,PROD-0166,247,208,39,Crack,INS-006,FAIL
BATCH-55776,2023-06-26,LINE-D,PROD-0179,315,296,19,Wrong Label,INS-028,FAIL
BATCH-53649,2024-11-14,LINE-A,PROD-0183,104,94,10,Contamination,INS-029,FAIL
BATCH-15896,2022-04-26,LINE-C,PROD-0080,497,497,0,,INS-006,PASS
BATCH-84714,2024-06-04,LINE-B,PROD-0018,102,100,2,None,INS-003,PASS
BATCH-21141,2024-05-24,LINE-A,PROD-0192,247,247,0,None,INS-024,PASS
BATCH-77980,2023-08-30,LINE-D,PROD-0167,234,213,21,Dimensional Error,INS-028,PENDING
BATCH-41069,2024-03-13,LINE-E,PROD-0141,271,237,34,Wrong Label,INS-009,FAIL
BATCH-22621,2024-02-17,LINE-A,PROD-0003,467,389,78,Crack,INS-013,FAIL
BATCH-45511,2023-10-22,LINE-A,PROD-0166,377,377,0,None,INS-017,PASS
BATCH-23735,2024-10-03,LINE-E,PROD-0115,206,204,2,None,INS-007,PASS
BATCH-86165,2024-07-01,LINE-A,PROD-0006,185,185,0,None,INS-026,PASS
BATCH-53718,2023-01-26,LINE-C,PROD-0059,334,334,0,None,INS-017,PASS
BATCH-35132,2023-01-11,LINE-C,PROD-0187,278,278,0,None,INS-018,PASS
BATCH-43547,2024-09-24,LINE-E,PROD-0061,205,204,1,Wrong Label,INS-024,pass
BATCH-80736,2024-01-17,LINE-D,PROD-0057,277,275,2,None,INS-028,PASS
BATCH-96203,2023-12-20,LINE-D,PROD-0091,161,157,4,Missing Part,INS-026,FAIL
BATCH-52172,2022-11-12,LINE-D,PROD-0127,262,262,0,None,INS-016,PASS
BATCH-53548,2023-10-07,LINE-B,PROD-0190,177,175,2,,INS-030,PASS
BATCH-62820,2022-12-11,LINE-C,PROD-0181,427,426,1,,INS-012,PASS
BATCH-79950,2024-10-19,LINE-C,PROD-0172,353,352,1,None,INS-028,PASS
BATCH-87044,2024-09-10,LINE-A,PROD-0151,234,234,0,None,INS-002,PASS
BATCH-27022,2023-11-21,LINE-B,PROD-0028,322,322,0,None,INS-024,PASS
BATCH-87132,2022-12-12,LINE-E,PROD-0027,86,85,1,,INS-013,PENDING
BATCH-87470,2022-03-31,LINE-C,PROD-0135,429,429,0,None,INS-027,PASS
BATCH-76690,2022-09-22,LINE-E,PROD-0092,396,396,0,None,INS-002,PASS
BATCH-87209,2023-04-10,LINE-E,PROD-0007,139,137,2,None,INS-005,PASS
BATCH-47944,2023-04-25,LINE-A,PROD-0002,171,160,11,Contamination,INS-010,FAIL
BATCH-36015,2024-02-26,LINE-E,PROD-0070,400,400,0,None,INS-009,PASS
BATCH-20342,2024-04-07,LINE-C,PROD-0150,371,371,0,None,INS-007,PASS
BATCH-79719,2023-08-05,LINE-D,PROD-0082,65,63,2,None,INS-026,PENDING
BATCH-34274,2023-07-15,LINE-A,PROD-0134,479,479,0,,INS-009,pass
BATCH-51727,2023-05-14,LINE-C,PROD-0004,420,418,2,None,INS-024,PASS
BATCH-60530,2024-06-20,LINE-C,PROD-0063,206,206,0,None,INS-010,PASS
BATCH-33589,2024-12-24,LINE-E,PROD-0079,120,118,2,None,INS-004,PASS
BATCH-12462,2024-12-30,LINE-D,PROD-0089,338,338,0,,INS-010,PASS
BATCH-65210,2024-09-09,LINE-D,PROD-0154,147,147,0,,INS-019,PASS
BATCH-39083,2023-01-14,LINE-B,PROD-0160,405,405,0,None,INS-026,PASS
BATCH-64579,2024-05-08,LINE-C,PROD-0122,173,173,0,None,INS-016,PASS
BATCH-89429,2024-08-12,LINE-D,PROD-0192,184,184,0,None,INS-030,PASS
BATCH-55415,2022-08-11,LINE-B,PROD-0058,238,238,0,None,INS-012,PASS
BATCH-62776,2022-05-25,LINE-C,PROD-0082,177,176,1,None,INS-016,PASS
BATCH-34940,2024-07-15,LINE-A,PROD-0127,173,173,0,None,INS-024,PASS
BATCH-56994,2023-04-27,LINE-C,PROD-0048,179,179,0,None,INS-010,PASS
BATCH-16268,2022-02-19,LINE-C,PROD-0123,163,162,1,,INS-023,PASS
BATCH-37224,2023-11-15,LINE-E,PROD-0017,258,225,33,Crack,INS-014,FAIL
BATCH-99744,2023-03-26,LINE-B,PROD-0013,222,220,2,None,INS-024,PASS
BATCH-85983,2024-06-24,LINE-E,PROD-0093,181,181,0,None,INS-016,PASS
BATCH-97200,2024-06-29,LINE-A,PROD-0102,78,78,0,None,INS-016,PASS
BATCH-43199,2023-05-21,LINE-E,PROD-0156,344,290,54,Surface Scratch,INS-005,fail
BATCH-65029,2024-07-26,LINE-A,PROD-0112,253,253,0,,INS-001,PASS
BATCH-54852,2024-02-01,LINE-C,PROD-0097,80,80,0,,INS-029,fail
BATCH-98690,2024-12-11,LINE-A,PROD-0055,373,320,53,Surface Scratch,INS-006,FAIL
BATCH-46895,2023-07-11,LINE-D,PROD-0158,278,277,1,Dimensional Error,INS-014,FAIL
BATCH-91332,2024-04-01,LINE-E,PROD-0005,489,488,1,None,INS-008,PASS
BATCH-72926,2023-07-19,LINE-C,PROD-0022,56,53,3,Surface Scratch,INS-026,FAIL
BATCH-76184,2023-06-12,LINE-A,PROD-0085,190,187,3,Crack,INS-002,FAIL
BATCH-63435,2024-03-13,LINE-A,PROD-0087,422,421,1,,INS-018,PASS
BATCH-18651,2022-04-29,LINE-C,PROD-0135,259,259,0,,INS-006,PASS
BATCH-45598,2023-03-19,LINE-B,PROD-0181,478,391,87,Crack,INS-016,FAIL
BATCH-51434,2023-07-13,LINE-A,PROD-0046,356,356,0,None,INS-020,PASS
BATCH-70618,2023-03-06,LINE-B,PROD-0038,153,152,1,None,INS-010,PASS
BATCH-68898,2022-04-14,LINE-E,PROD-0111,68,68,0,,INS-027,PASS
BATCH-67724,2024-09-02,LINE-A,PROD-0091,178,171,7,Missing Part,INS-007,fail
BATCH-38793,2023-06-03,LINE-D,PROD-0034,451,442,9,Missing Part,INS-015,FAIL
BATCH-20876,2022-07-05,LINE-A,PROD-0074,240,238,2,None,INS-003,PASS
BATCH-58393,2022-05-13,LINE-E,PROD-0052,136,131,5,Crack,INS-016,FAIL
BATCH-28125,2022-09-27,LINE-C,PROD-0146,380,380,0,None,INS-029,PASS
BATCH-66857,2023-03-19,LINE-C,PROD-0108,307,269,38,Surface Scratch,INS-028,FAIL
BATCH-58299,2023-02-26,LINE-D,PROD-0052,391,391,0,,INS-007,PASS
BATCH-78846,2024-09-17,LINE-E,PROD-0136,344,344,0,,INS-006,PASS
BATCH-35158,2024-05-10,LINE-A,PROD-0108,64,62,2,None,INS-012,PASS
BATCH-39621,2023-06-05,LINE-C,PROD-0143,221,221,0,None,INS-006,PASS
BATCH-95833,2023-10-08,LINE-A,PROD-0142,126,126,0,None,INS-011,PENDING
BATCH-85208,2022-04-08,LINE-A,PROD-0135,72,72,0,,INS-017,PASS
BATCH-16635,2024-12-22,LINE-E,PROD-0082,439,439,0,,INS-010,pass
BATCH-29556,2023-11-30,LINE-C,PROD-0120,496,494,2,,INS-015,PASS
BATCH-97338,2023-11-13,LINE-E,PROD-0122,144,138,6,Surface Scratch,INS-014,FAIL
BATCH-60078,2022-07-28,LINE-E,PROD-0140,312,312,0,None,INS-002,PASS
BATCH-24486,2023-08-30,LINE-D,PROD-0162,81,76,5,Wrong Label,INS-011,FAIL
BATCH-80511,2024-12-30,LINE-B,PROD-0034,132,132,0,None,INS-016,PASS
BATCH-38110,2023-12-20,LINE-B,PROD-0112,284,283,1,,INS-010,PASS
BATCH-92853,2023-03-06,LINE-A,PROD-0017,302,302,0,None,INS-003,PASS
BATCH-79773,2022-09-30,LINE-D,PROD-0192,333,318,15,Crack,INS-002,FAIL
BATCH-64067,2024-03-17,LINE-B,PROD-0190,403,402,1,,INS-020,PASS
BATCH-19373,2022-04-21,LINE-C,PROD-0098,84,82,2,None,INS-024,pass
BATCH-59035,2022-08-12,LINE-A,PROD-0193,146,140,6,Dimensional Error,INS-017,PENDING
BATCH-77685,2022-04-13,LINE-A,PROD-0086,103,101,2,,INS-007,PASS
BATCH-54033,2023-06-18,LINE-A,PROD-0138,161,161,0,None,INS-014,PASS
BATCH-90120,2023-05-21,LINE-D,PROD-0035,298,297,1,,INS-029,fail
BATCH-61890,2023-12-14,LINE-A,PROD-0199,267,267,0,,INS-023,PASS
BATCH-22589,2024-10-22,LINE-D,PROD-0172,283,281,2,,INS-005,pass
BATCH-10158,2023-12-09,LINE-A,PROD-0023,293,293,0,None,INS-002,PASS
BATCH-80569,2023-11-26,LINE-E,PROD-0013,349,348,1,,INS-006,PASS
BATCH-83123,2022-03-02,LINE-E,PROD-0007,253,253,0,None,INS-020,PASS
BATCH-49976,2022-06-28,LINE-A,PROD-0153,192,190,2,None,INS-011,PENDING
BATCH-47242,2023-05-03,LINE-E,PROD-0096,298,298,0,None,INS-020,PENDING
BATCH-47878,2023-09-26,LINE-C,PROD-0155,157,157,0,None,INS-017,PASS
BATCH-18987,2024-02-19,LINE-B,PROD-0054,494,440,54,Wrong Label,INS-003,PENDING
BATCH-30312,2022-09-28,LINE-A,PROD-0179,63,61,2,None,INS-017,PASS
BATCH-21301,2022-11-16,LINE-C,PROD-0191,256,254,2,None,INS-022,PASS
BATCH-22856,2023-06-02,LINE-D,PROD-0058,394,393,1,None,INS-007,PASS
BATCH-41872,2023-11-10,LINE-A,PROD-0004,220,219,1,None,INS-021,PASS
BATCH-79420,2023-04-23,LINE-E,PROD-0098,239,239,0,,INS-024,PASS
BATCH-19372,2024-08-30,LINE-C,PROD-0010,232,231,1,None,INS-028,pass
BATCH-53119,2022-12-21,LINE-A,PROD-0123,191,191,0,None,INS-018,PASS
BATCH-66439,2024-12-17,LINE-B,PROD-0150,406,404,2,None,INS-028,PASS
BATCH-12604,2023-08-25,LINE-E,PROD-0015,290,290,0,None,INS-024,PASS
BATCH-94608,2022-05-09,LINE-A,PROD-0065,365,363,2,None,INS-008,PASS
BATCH-27346,2022-02-05,LINE-B,PROD-0069,335,333,2,None,INS-011,PASS
BATCH-79457,2024-03-13,LINE-B,PROD-0013,387,362,25,Surface Scratch,INS-026,FAIL
BATCH-36862,2024-08-09,LINE-D,PROD-0184,127,126,1,Contamination,INS-025,FAIL
BATCH-34111,2022-01-27,LINE-D,PROD-0053,325,324,1,None,INS-029,PASS
BATCH-29601,2022-12-26,LINE-E,PROD-0189,170,170,0,,INS-022,PASS
BATCH-34293,2024-01-25,LINE-C,PROD-0112,453,453,0,None,INS-002,PASS
BATCH-44287,2024-03-12,LINE-E,PROD-0164,233,233,0,None,INS-004,PENDING
BATCH-20523,2023-01-14,LINE-A,PROD-0195,105,90,15,Dimensional Error,INS-020,FAIL
BATCH-72996,2022-07-07,LINE-A,PROD-0003,143,141,2,None,INS-027,PASS
BATCH-20155,2023-01-19,LINE-A,PROD-0169,369,367,2,,INS-009,PASS
BATCH-76380,2022-05-22,LINE-A,PROD-0012,68,55,13,Dimensional Error,INS-009,FAIL
BATCH-52199,2023-08-23,LINE-D,PROD-0125,266,237,29,Crack,INS-013,FAIL
BATCH-84363,2022-10-30,LINE-E,PROD-0142,460,458,2,None,INS-005,PASS
BATCH-67206,2022-04-13,LINE-A,PROD-0014,498,497,1,None,INS-015,PASS
BATCH-32065,2023-12-17,LINE-B,PROD-0151,274,274,0,None,INS-005,PASS
BATCH-42882,2024-01-01,LINE-B,PROD-0193,66,56,10,Surface Scratch,INS-009,PENDING
BATCH-38881,2023-10-25,LINE-A,PROD-0125,378,376,2,,INS-002,PASS
BATCH-79112,2024-10-26,LINE-A,PROD-0068,417,416,1,Surface Scratch,INS-024,FAIL
BATCH-21022,2022-11-10,LINE-D,PROD-0083,303,301,2,None,INS-001,fail
BATCH-34567,2024-07-26,LINE-B,PROD-0118,239,215,24,Surface Scratch,INS-005,PENDING
BATCH-51804,2024-10-08,LINE-D,PROD-0105,228,228,0,None,INS-016,PASS
BATCH-46645,2022-09-23,LINE-C,PROD-0128,416,414,2,None,INS-021,PASS
BATCH-57183,2023-09-16,LINE-C,PROD-0023,388,323,65,Missing Part,INS-012,FAIL
BATCH-33857,2023-08-13,LINE-A,PROD-0020,330,288,42,Contamination,INS-009,FAIL
BATCH-23021,2022-10-17,LINE-D,PROD-0018,304,303,1,None,INS-004,PASS
BATCH-46558,2022-10-27,LINE-A,PROD-0129,168,168,0,None,INS-015,PASS
BATCH-40508,2024-03-10,LINE-B,PROD-0050,210,209,1,,INS-022,PASS
BATCH-65934,2024-03-29,LINE-D,PROD-0023,352,350,2,,INS-005,PASS
BATCH-55580,2023-03-26,LINE-A,PROD-0030,104,92,12,Contamination,INS-029,fail
BATCH-68669,2023-06-21,LINE-E,PROD-0093,452,451,1,None,INS-024,PASS
BATCH-27673,2024-09-17,LINE-C,PROD-0150,203,203,0,None,INS-002,PASS
BATCH-54406,2024-06-10,LINE-C,PROD-0120,328,328,0,,INS-028,PASS
BATCH-50206,2022-11-05,LINE-A,PROD-0144,107,106,1,None,INS-007,PASS
BATCH-77318,2024-06-22,LINE-D,PROD-0168,196,194,2,,INS-007,PASS
BATCH-24252,2024-04-29,LINE-E,PROD-0002,376,376,0,,INS-007,PASS
BATCH-24957,2023-04-28,LINE-A,PROD-0014,494,494,0,,INS-016,PASS
BATCH-64501,2023-06-07,LINE-C,PROD-0073,190,169,21,Missing Part,INS-010,FAIL
BATCH-43433,2024-04-02,LINE-A,PROD-0135,100,100,0,None,INS-027,PASS
BATCH-78876,2024-08-25,LINE-A,PROD-0047,244,244,0,None,INS-023,PASS
BATCH-41717,2024-08-31,LINE-B,PROD-0098,446,391,55,Contamination,INS-030,FAIL
BATCH-56727,2023-05-10,LINE-A,PROD-0142,298,298,0,,INS-022,fail
